,id,name,start_date,FIRE_SIZE_CLASS,cause,end_date,size,lat,lon,state,start_year,start_month,start_day_of_year,end_year,end_month,end_day_of_year,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,prcp_30
3329,2259881,,2020-02-27,B,Missing data/not specified/undetermined,,6.0,33.80254,-92.60572,AR,2020,2,58,,,,4.0,-4.0,13.0,0.0,,,5.4,,,,0.0
3330,1869705,ROBERTSON,2015-08-31,A,Missing data/not specified/undetermined,2015-08-31,0.25,37.083599,-120.297327,CA,2015,8,243,2015.0,8.0,243.0,23.7,15.0,33.3,0.0,,,8.8,,1011.4,,0.3
3331,2264083,N/A,2020-05-30,A,Human,2020-05-30,0.1,38.84841128,-104.7723289,CO,2020,5,151,2020.0,5.0,151.0,22.7,15.0,30.6,0.0,0.0,329.0,19.8,,1014.4,,28.8
3332,1298558,,2007-05-19,B,Human,2007-05-19,0.38,42.0613413,-76.8174906,NY,2007,5,139,2007.0,5.0,139.0,11.6,-1.1,20.6,0.0,,,12.1,,1016.6,,1.7000000000000002
3333,515132,,2006-03-18,B,Human,,1.0,35.42006998,-78.71587,NC,2006,3,77,,,,9.5,3.0,16.0,0.0,,,5.3,,,,0.0
3334,1046830,KITTY FIRE (CODE1),2001-09-17,A,Human,,0.1,35.6833,-75.8833,NC,2001,9,260,,,,20.6,16.7,23.9,0.0,,,12.6,,,0.0,102.4
3335,226141,SQUAW,1996-08-09,B,Natural,1996-08-09,1.0,46.3028,-105.5608,MT,1996,8,222,1996.0,8.0,222.0,,16.1,30.0,0.0,0.0,,,,,,11.200000000000001
3336,1218307,SQUIRREL RIDGE WF,2010-01-05,A,Human,2010-01-05,0.1,37.38589,-91.49661,MO,2010,1,5,2010.0,1.0,5.0,-11.0,-16.1,-3.9,0.0,,,10.3,,1029.7,,0.0
3337,193388,,1994-08-28,B,Natural,1994-08-29,2.5,45.1333,-108.1673,MT,1994,8,240,1994.0,8.0,241.0,19.5,10.6,30.0,0.0,0.0,247.0,15.1,33.5,1015.7,326.0,1.3
3338,1309387,,2006-04-21,B,Human,2006-04-21,1.74,42.53932273,-73.341665,NY,2006,4,111,2006.0,4.0,111.0,11.4,6.7,16.7,0.0,,,6.7,,1021.4,,1.5
3339,1868651,EL PASEO  / HY 74,2015-07-30,A,Natural,2015-07-30,0.1,33.719771,-116.390759,CA,2015,7,211,2015.0,7.0,211.0,35.9,31.7,42.8,0.0,,,9.7,,1012.7,,0.0
3340,914470,,1999-03-05,B,Human,,7.0,33.2,-80.7,SC,1999,3,64,,,,7.2,-1.7,16.1,0.0,0.0,,10.8,,1026.2,,11.0
3341,1564260,PINE,2012-05-13,A,Human,2012-05-13,0.1,37.38138889,-107.59777778,CO,2012,5,134,2012.0,5.0,134.0,11.0,7.2,17.2,0.0,,,10.8,,1020.8,,0.0
3342,266162,DOCTOR,2009-08-07,A,Human,2009-08-07,0.1,43.185,-102.7594,SD,2009,8,219,2009.0,8.0,219.0,25.0,17.2,34.4,19.2,,,12.2,,1004.7,,23.0
3343,43898,,1992-07-03,A,Human,1992-07-03,0.1,34.38166667,-110.515,AZ,1992,7,185,1992.0,7.0,185.0,22.2,11.1,32.2,0.0,0.0,174.0,12.0,,,,1.6
3344,1581397,JORDAN,2012-03-23,B,Human,,1.0,43.536045,-96.996385,SD,2012,3,83,,,,11.8,3.9,21.1,0.0,0.0,,1.8,,1014.1,,68.0
3345,1413319,,1996-05-22,A,Human,1996-05-22,0.1,32.7155,-83.5478,GA,1996,5,143,1996.0,5.0,143.0,27.6,19.4,36.1,0.0,,12.0,12.8,,1008.1,,0.0
3346,723382,DISPATCH,1996-06-28,B,Missing data/not specified/undetermined,,1.0,32.72805404,-108.27777862,NM,1996,6,180,,,,,17.2,34.4,0.0,0.0,,,,,,10.6
3347,9911,TECOLATE,2006-05-27,F,Human,2006-05-29,1500.0,37.21388889,-103.23166667,CO,2006,5,147,2006.0,5.0,149.0,26.9,18.9,34.4,0.0,,200.0,32.1,,994.9,,35.0
3348,1844749,6116,2015-08-06,B,Human,2015-08-06,9.0,32.902,-94.16666667,TX,2015,8,218,2015.0,8.0,218.0,31.9,26.5,37.7,0.0,,,10.2,,,,0.0
3349,1899195,CEDAR CANYON,2016-03-05,C,Human,2016-03-05,44.0,45.7822,-108.4436,MT,2016,3,65,2016.0,3.0,65.0,12.0,5.6,21.7,0.0,0.0,233.0,20.2,,1006.6,,2.3
3350,1506462,"125 CO RD 5, AL",2011-03-23,B,Human,2011-03-23,4.0,33.8464387,-86.9550875,AL,2011,3,82,2011.0,3.0,82.0,21.3,18.0,24.0,0.0,,231.0,11.7,,,,0.0
3351,428564,,2004-02-21,C,Human,,37.91,31.66592181,-82.24400122,GA,2004,2,52,,,,16.7,8.9,23.9,0.0,0.0,,12.6,,1014.0,0.0,150.3
3352,1610766,FY2012-WILCOX-040,2012-01-07,B,Human,2012-01-07,1.1,31.85238655,-83.21781719,GA,2012,1,7,2012.0,1.0,7.0,14.3,7.0,23.0,0.0,,,5.1,,,,0.0
3353,759507,ISLAND LOOP,1995-06-22,A,Human,1995-06-22,0.2,43.83935,-121.46872,OR,1995,6,173,1995.0,6.0,173.0,,3.9,26.1,0.0,0.0,,,,,,43.199999999999996
3354,372674,08 KUWAIT 1,2008-12-02,A,Human,2008-12-02,0.1,38.35277778,-96.00472222,KS,2008,12,337,2008.0,12.0,337.0,4.1,-4.4,12.8,0.0,,181.0,25.0,,1011.9,,0.3
3355,2039969,8238,2017-05-21,A,Human,2017-05-21,0.1,39.0515453,-95.61674053,KS,2017,5,141,2017.0,5.0,141.0,13.8,7.2,21.7,0.0,,,14.6,,1019.3,,25.9
