,start_date,FIRE_SIZE_CLASS,category,cause,size,lat,lon,buinfdr,ercnfdr,icnfdr,scnfdr,u10,v10,t2m,blh,cape,lai_hv,lai_lv,slt
1826,2018-06-11,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,3.0,33.226842,-92.608169,30.0,38.0,20.0,4.0,,,,,,,,
1827,2019-04-03,D,Human,Arson/incendiarism,290.7,30.4335,-89.8924,28.0,31.0,16.0,4.0,,,,,,,,
1828,2019-08-28,A,Human,Missing data/not specified/undetermined,0.1,48.105,-114.2446,8.0,8.0,8.0,1.0,,,,,,,,
1829,2002-02-16,A,Human,Misuse of fire by a minor,0.1,35.3,-82.45,,,,,,,,,,,,
1830,2018-07-16,A,Natural,Natural,0.1,43.4389,-114.03,50.0,64.0,40.0,7.0,,,,,,,,
1831,2016-05-12,B,Human,Missing data/not specified/undetermined,1.0,26.20061,-98.41554,10.0,13.0,11.0,1.0,,,,,,,,
1832,2016-04-23,A,Human,Misuse of fire by a minor,0.1,44.567781,-69.626014,9.0,10.0,11.0,1.0,,,,,,,,
1833,2012-10-10,B,Human,Debris and open burning,3.0,30.4549,-85.4195,13.0,23.0,10.0,1.0,-2.136493682861328,6.035643577575684,299.51751708984375,650.1998901367188,137.4375,0.0,0.0,0.0
1834,2016-10-30,C,Human,Debris and open burning,17.0,34.06695,-88.70943,8.0,8.0,9.0,1.0,,,,,,,,
1835,2016-11-20,B,Human,Power generation/transmission/distribution,2.0,39.02594444,-77.68408333,7.0,6.0,14.0,1.0,,,,,,,,
1836,2007-12-22,B,Human,Railroad operations and maintenance,4.0,32.78761,-97.92284,,,,,,,,,,,,
1837,2008-08-11,A,Human,Missing data/not specified/undetermined,0.05,27.95503,-97.93806,,,,,,,,,,,,
1838,2000-08-10,A,Natural,Natural,0.1,43.7074,-120.1661,,,,,,,,,,,,
1839,2015-04-05,C,Human,Debris and open burning,15.0,43.26816,-92.2216,0.0,10.0,0.0,0.0,,,,,,,,
1840,2011-02-26,B,Human,Debris and open burning,2.0,31.24888413,-84.2698821,20.0,31.0,17.0,2.0,6.93865966796875,4.062553405761719,292.82745361328125,959.9041748046875,9.75,0.0,0.0,0.0
1841,1998-04-08,C,Human,Debris and open burning,15.0,31.47708,-94.03125,,,,,,,,,,,,
1842,2014-03-24,B,Human,Power generation/transmission/distribution,0.3,38.19401764,-80.69152274,11.0,16.0,22.0,1.0,,,,,,,,
1843,1994-03-15,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2.5,33.10610961,-107.2911148,,,,,,,,,,,,
1844,2017-04-06,B,Human,Debris and open burning,0.5,41.2384,-93.748531,0.0,0.0,0.0,0.0,,,,,,,,
1845,2003-04-26,A,Human,Missing data/not specified/undetermined,0.02,44.01756001,-89.01143997,,,,,,,,,,,,
1846,2018-01-13,A,Human,Missing data/not specified/undetermined,0.1,33.49466652,-112.2178902,14.0,9.0,14.0,3.0,,,,,,,,
1847,2001-02-11,B,Human,Arson/incendiarism,1.0,30.5125,-89.5383,,,,,,,,,,,,
1848,2011-02-19,A,Human,Debris and open burning,0.13,32.26867244,-83.50841081,0.0,3.0,0.0,0.0,10.74265193939209,3.3611602783203125,292.03045654296875,1350.71240234375,10.46875,0.0,0.0,0.0
1849,1992-05-07,B,Human,Railroad operations and maintenance,7.0,25.54,-80.39,,,,,,,,,,,,
1850,1999-03-10,B,Human,Arson/incendiarism,1.0,31.23964026,-89.48609318,,,,,,,,,,,,
1851,2004-12-13,B,Human,Debris and open burning,4.0,34.8167,-79.7667,,,,,,,,,,,,
1852,2007-03-04,B,Human,Debris and open burning,3.27,30.93834334,-84.38338258,,,,,,,,,,,,
1853,1999-04-25,C,Human,Arson/incendiarism,35.0,30.7425,-87.54,,,,,,,,,,,,
1854,2006-06-14,D,Human,Debris and open burning,145.0,37.09027778,-101.75555556,,,,,,,,,,,,
1855,2004-11-16,B,Human,Arson/incendiarism,4.0,33.991472,-85.658711,,,,,,,,,,,,
1856,2016-11-06,A,Human,Recreation and ceremony,0.01,43.71416667,-103.76444444,33.0,45.0,23.0,4.0,,,,,,,,
1857,2005-05-26,A,Human,Debris and open burning,0.08,33.09200454,-82.57679125,,,,,,,,,,,,
1858,2018-04-29,A,Human,Missing data/not specified/undetermined,0.1,32.11950756,-110.9775297,107.0,103.0,88.0,23.0,,,,,,,,
1859,2016-09-20,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.5,37.055631,-120.76225,6.0,4.0,6.0,1.0,,,,,,,,
1860,2001-04-17,B,Human,Debris and open burning,1.07,34.6182,-83.3782,,,,,,,,,,,,
1861,2011-03-30,B,Human,Power generation/transmission/distribution,3.0,36.11806,-102.5823,18.0,10.0,14.0,5.0,9.464247703552246,-5.856173515319824,285.7538146972656,1908.494384765625,3.25,0.0,0.0,0.0
1862,2007-02-01,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.5,18.049324,-66.866508,,,,,,,,,,,,
1863,1999-07-08,A,Natural,Natural,0.1,37.9975,-113.6344,,,,,,,,,,,,
1864,2010-07-12,A,Human,Debris and open burning,0.2,46.3839,-100.6106,0.0,0.0,0.0,0.0,1.6553106307983398,-2.0182580947875977,291.31005859375,353.3925476074219,15.25,5.0113525390625,2.6016845703125,3.0
1865,2000-09-01,B,Natural,Natural,5.0,33.0408,-92.4367,,,,,,,,,,,,
1866,2001-07-17,C,Human,Arson/incendiarism,12.0,34.9833,-79.4833,,,,,,,,,,,,
1867,2006-03-17,B,Human,Arson/incendiarism,3.0,34.9422,-95.9955,,,,,,,,,,,,
1868,1996-03-12,C,Human,Arson/incendiarism,60.0,31.40699498,-89.69821334,,,,,,,,,,,,
1869,2002-05-23,A,Human,Missing data/not specified/undetermined,0.1,33.62611111,-110.93583333,,,,,,,,,,,,
1870,1994-03-19,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1.4,34.1875,-79.32916667,,,,,,,,,,,,
1871,1993-08-29,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1.0,33.27083333,-80.7875,,,,,,,,,,,,
1872,1995-08-11,B,Human,Debris and open burning,4.0,31.91458,-94.10208,,,,,,,,,,,,
1873,2020-12-24,B,Human,Recreation and ceremony,0.5,33.203,-97.4797,8.0,4.0,7.0,2.0,,,,,,,,
1874,2016-11-19,B,Human,Debris and open burning,1.48,35.518384,-79.399366,0.0,6.0,0.0,0.0,,,,,,,,
1875,1992-08-05,B,Human,Railroad operations and maintenance,0.5,45.6333,-107.4673,,,,,,,,,,,,
1876,2001-10-04,B,Human,Debris and open burning,1.0,34.6369,-87.7311,,,,,,,,,,,,
1877,1998-12-30,A,Human,Arson/incendiarism,0.1,32.6294,-82.5606,,,,,,,,,,,,
1878,1995-12-27,C,Human,Debris and open burning,30.0,33.35625,-94.26458,,,,,,,,,,,,
1879,2020-03-06,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.01,37.624498,-120.966176,0.0,5.0,0.0,0.0,,,,,,,,
1880,2005-07-15,G,Natural,Natural,9593.0,37.3008,-113.6275,,,,,,,,,,,,
1881,1999-02-11,B,Human,Arson/incendiarism,4.0,32.3381,-80.8681,,,,,,,,,,,,
1882,2006-04-13,A,Human,Debris and open burning,0.1,46.71382852,-92.88618424,,,,,,,,,,,,
1883,2008-06-19,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1.0,33.9679,-118.1649,,,,,,,,,,,,
1884,1997-06-23,B,Human,Recreation and ceremony,1.0,33.3601,-110.4573,,,,,,,,,,,,
1885,2020-11-23,A,Human,Missing data/not specified/undetermined,0.01,36.303151,-119.29171,0.0,2.0,0.0,0.0,,,,,,,,
1886,2011-06-03,B,Human,Misuse of fire by a minor,1.0,30.6912,-94.85196667,35.0,42.0,35.0,5.0,3.268625259399414,0.5640029907226562,296.84228515625,470.8240051269531,53.4375,0.0,0.0,0.0
1887,2007-06-11,A,Human,Equipment and vehicle use,0.12,31.5498549,-84.61920683,,,,,,,,,,,,
1888,2012-10-24,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.05,21.3979034,-158.0100403,0.0,3.0,0.0,0.0,-7.164154052734375,0.705963134765625,300.1935729980469,857.8671264648438,152.25,0.0,0.0,0.0
1889,2012-12-02,A,Human,Misuse of fire by a minor,0.1,35.27166667,-78.97516667,18.0,24.0,7.0,2.0,-12.960714340209961,-2.054758071899414,290.1781005859375,1123.16357421875,137.46875,0.0,0.0,0.0
1890,1994-12-07,A,Human,Debris and open burning,0.1,35.5183,-81.2117,,,,,,,,,,,,
1891,2002-01-17,B,Human,Missing data/not specified/undetermined,1.0,34.5673,-85.32,,,,,,,,,,,,
